


================================================================================
COMPREHENSIVE REVERSIBLE QWEN3 EVALUATION SUITE
================================================================================

🔬 PHASE 1: Basic Performance & Memory Efficiency
------------------------------------------------------------
============================================================
ENHANCED REVERSIBLE QWEN3 COMPREHENSIVE BENCHMARKS
============================================================
Loading WikiText-2 dataset...
Loading WikiText dataset...
Loaded WikiText: Train=36718, Val=3760, Test=4358
Dataset loaded: Train=36718, Val=3760, Test=4358
Text analysis - Empty: 12951, Short (<20 chars): 2567, Valid (>=20 chars): 21200
Creating tokenizer...
Creating WikiText tokenizer...
Found 23547 valid texts for tokenizer training
Used 23547 texts for tokenizer training
Actual vocabulary size: 5000
Sample tokenization test:
  Text length: 30 chars
  Token count: 12
  First 10 tokens: ['<bos>', '=', 'Val', 'ky', 'ri', 'a', 'Ch', 'ronic', 'les', 'III']
Creating WikiText datasets...
Special tokens - pad: 1, unk: 0, bos: 2, eos: 3
Processing 20887 valid texts from 36718 total texts...
Created WikiText dataset with 13302 sequences
Special tokens - pad: 1, unk: 0, bos: 2, eos: 3
Processing 2203 valid texts from 3760 total texts...
Created WikiText dataset with 1352 sequences
Special tokens - pad: 1, unk: 0, bos: 2, eos: 3
Processing 2542 valid texts from 4358 total texts...
Created WikiText dataset with 1600 sequences
Debugging train...
Dataset length: 13302
Sample input shape: torch.Size([256])
Sample target shape: torch.Size([256])
Sample input tokens (first 10): [2, 54, 3524, 185, 1305, 2881, 2835, 1085, 68, 22]
Sample target tokens (first 10): [54, 3524, 185, 1305, 2881, 2835, 1085, 68, 22, 29]
Ignore tokens (-100) in sample: 57
Token range - input: [1, 4794]
Token range - target: [-100, 4794]
Debugging validation...
Dataset length: 1352
Sample input shape: torch.Size([256])
Sample target shape: torch.Size([256])
Sample input tokens (first 10): [2, 43, 1049, 1028, 1081, 4934, 2090, 1081, 15, 1550]
Sample target tokens (first 10): [43, 1049, 1028, 1081, 4934, 2090, 1081, 15, 1550, 1031]
Ignore tokens (-100) in sample: 48
Token range - input: [1, 4934]
Token range - target: [-100, 4934]
Debugging test...
Dataset length: 1600
Sample input shape: torch.Size([256])
Sample target shape: torch.Size([256])
Sample input tokens (first 10): [2, 2862, 37, 1037, 79, 1069, 1033, 1018, 2233, 1458]
Sample target tokens (first 10): [2862, 37, 1037, 79, 1069, 1033, 1018, 2233, 1458, 15]
Ignore tokens (-100) in sample: 13
Token range - input: [1, 4910]
Token range - target: [-100, 4910]
Setting up models...
Created reversible_standard model (473,501,696 params)
Created non_reversible_standard model (473,501,696 params)

==================================================
ENHANCED TESTING: reversible_standard
==================================================
1. Calculating baseline language modeling metrics...
Calculating perplexity with up to 10 batches...
Perplexity calculation: 10 valid batches, 4161 total tokens
Final perplexity: 6656.25 (avg_loss: 8.8033)
2. Measuring computational efficiency...
3. Analyzing memory efficiency...
4. Testing memory scaling...
  Seq 128: 3644.5 MB (28.473 MB/token)
  Seq 256: 3668.1 MB (14.329 MB/token)
  Seq 512: 3707.8 MB (7.242 MB/token)
5. Fine-tuning with enhanced metrics...
Training config: LR=0.0001, Epochs=8
Data loaders - Train: 6651 batches, Val: 676 batches
Epoch 1, Batch 0: Loss: 8.8677, Acc: 0.0%, LR: 0.000100
Epoch 1, Batch 30: Loss: 7.2871, Acc: 2.6%, LR: 0.000100
Epoch 1, Batch 60: Loss: 6.9396, Acc: 3.2%, LR: 0.000100
Epoch 1, Batch 90: Loss: 6.8129, Acc: 3.6%, LR: 0.000100
Epoch 1, Batch 120: Loss: 6.8601, Acc: 4.8%, LR: 0.000100
Epoch 1, Batch 150: Loss: 6.2298, Acc: 7.1%, LR: 0.000100
Epoch 1, Batch 180: Loss: 5.4076, Acc: 10.4%, LR: 0.000100
Epoch 1, Batch 210: Loss: 4.4331, Acc: 14.0%, LR: 0.000100
Epoch 1, Batch 240: Loss: 3.4002, Acc: 17.9%, LR: 0.000100
Epoch 1, Batch 270: Loss: 3.3440, Acc: 21.9%, LR: 0.000100
Epoch 1, Batch 300: Loss: 2.2187, Acc: 26.1%, LR: 0.000100
Epoch 1, Batch 330: Loss: 2.0523, Acc: 30.0%, LR: 0.000100
Epoch 1, Batch 360: Loss: 1.4238, Acc: 33.8%, LR: 0.000100
Epoch 1, Batch 390: Loss: 1.0982, Acc: 37.4%, LR: 0.000100
Epoch 1, Batch 420: Loss: 0.8064, Acc: 40.8%, LR: 0.000100
Epoch 1, Batch 450: Loss: 0.6227, Acc: 43.9%, LR: 0.000100
Epoch 1, Batch 480: Loss: 0.6132, Acc: 46.6%, LR: 0.000100
Epoch 1, Batch 510: Loss: 0.5442, Acc: 49.2%, LR: 0.000100
Epoch 1, Batch 540: Loss: 0.3281, Acc: 51.6%, LR: 0.000100
Epoch 1, Batch 570: Loss: 0.4511, Acc: 53.9%, LR: 0.000100
Epoch 1, Batch 600: Loss: 0.1979, Acc: 56.0%, LR: 0.000100
Epoch 1, Batch 630: Loss: 0.1835, Acc: 58.0%, LR: 0.000100
Epoch 1, Batch 660: Loss: 0.1648, Acc: 59.8%, LR: 0.000100
Epoch 1, Batch 690: Loss: 0.1037, Acc: 61.5%, LR: 0.000100
Epoch 1, Batch 720: Loss: 0.0715, Acc: 63.0%, LR: 0.000100
Epoch 1, Batch 750: Loss: 0.0362, Acc: 64.4%, LR: 0.000100
Epoch 1, Batch 780: Loss: 0.1406, Acc: 65.7%, LR: 0.000100
Epoch 1, Batch 810: Loss: 0.0810, Acc: 66.8%, LR: 0.000100
Epoch 1, Batch 840: Loss: 0.0795, Acc: 67.9%, LR: 0.000100
Epoch 1, Batch 870: Loss: 0.1178, Acc: 69.1%, LR: 0.000100
Epoch 1, Batch 900: Loss: 0.0853, Acc: 70.0%, LR: 0.000100
Epoch 1, Batch 930: Loss: 0.0645, Acc: 70.9%, LR: 0.000100
Epoch 1, Batch 960: Loss: 0.0241, Acc: 71.8%, LR: 0.000100
Epoch 1, Batch 990: Loss: 0.1151, Acc: 72.6%, LR: 0.000100
Epoch 1, Batch 1020: Loss: 0.0471, Acc: 73.4%, LR: 0.000100
Epoch 1, Batch 1050: Loss: 0.0275, Acc: 74.1%, LR: 0.000100
Epoch 1, Batch 1080: Loss: 0.0287, Acc: 74.9%, LR: 0.000100
Epoch 1, Batch 1110: Loss: 0.0416, Acc: 75.5%, LR: 0.000100
Epoch 1, Batch 1140: Loss: 0.0602, Acc: 76.2%, LR: 0.000100
Epoch 1, Batch 1170: Loss: 0.0214, Acc: 76.8%, LR: 0.000100
Epoch 1, Batch 1200: Loss: 0.0332, Acc: 77.4%, LR: 0.000100
Epoch 1, Batch 1230: Loss: 0.0140, Acc: 77.9%, LR: 0.000100
Epoch 1, Batch 1260: Loss: 0.0084, Acc: 78.4%, LR: 0.000100
Epoch 1, Batch 1290: Loss: 0.0593, Acc: 78.9%, LR: 0.000100
Epoch 1, Batch 1320: Loss: 0.0106, Acc: 79.4%, LR: 0.000100
Epoch 1, Batch 1350: Loss: 0.0325, Acc: 79.8%, LR: 0.000100
Epoch 1, Batch 1380: Loss: 0.0074, Acc: 80.3%, LR: 0.000100
Epoch 1, Batch 1410: Loss: 0.0200, Acc: 80.7%, LR: 0.000100
Epoch 1, Batch 1440: Loss: 0.0271, Acc: 81.1%, LR: 0.000100
Epoch 1, Batch 1470: Loss: 0.0121, Acc: 81.4%, LR: 0.000100
Epoch 1, Batch 1500: Loss: 0.0420, Acc: 81.8%, LR: 0.000100
Epoch 1, Batch 1530: Loss: 0.0179, Acc: 82.2%, LR: 0.000100
Epoch 1, Batch 1560: Loss: 0.0213, Acc: 82.5%, LR: 0.000100
Epoch 1, Batch 1590: Loss: 0.0189, Acc: 82.8%, LR: 0.000100
Epoch 1, Batch 1620: Loss: 0.0248, Acc: 83.1%, LR: 0.000100
Epoch 1, Batch 1650: Loss: 0.0219, Acc: 83.4%, LR: 0.000100
Epoch 1, Batch 1680: Loss: 0.0374, Acc: 83.7%, LR: 0.000100
Epoch 1, Batch 1710: Loss: 0.0183, Acc: 84.0%, LR: 0.000100
Epoch 1, Batch 1740: Loss: 0.0103, Acc: 84.3%, LR: 0.000100
Epoch 1, Batch 1770: Loss: 0.0195, Acc: 84.5%, LR: 0.000100
Epoch 1, Batch 1800: Loss: 0.0253, Acc: 84.8%, LR: 0.000100
Epoch 1, Batch 1830: Loss: 0.0342, Acc: 85.0%, LR: 0.000100
Epoch 1, Batch 1860: Loss: 0.0044, Acc: 85.3%, LR: 0.000100
Epoch 1, Batch 1890: Loss: 0.0282, Acc: 85.5%, LR: 0.000100
Epoch 1, Batch 1920: Loss: 0.0340, Acc: 85.7%, LR: 0.000100
Epoch 1, Batch 1950: Loss: 0.0341, Acc: 85.9%, LR: 0.000100
Epoch 1, Batch 1980: Loss: 0.0203, Acc: 86.1%, LR: 0.000100
Epoch 1, Batch 2010: Loss: 0.0061, Acc: 86.3%, LR: 0.000100
Epoch 1, Batch 2040: Loss: 0.0248, Acc: 86.5%, LR: 0.000100
